id	multiplicon	genome	list	first	last	order
194	97	reesei	CP016232.1	mRNA_7785	mRNA_8116	1
195	98	reesei	CP016233.1	mRNA_3902	mRNA_1395	0
196	98	atroviride	contig_1	Tatro_001802-T1	Tatro_001897-T1	1
197	99	reesei	CP016233.1	mRNA_895	mRNA_2007	0
198	99	atroviride	contig_1	Tatro_000687-T1	Tatro_000721-T1	1
199	100	reesei	CP016235.1	mRNA_5294	mRNA_3880	0
200	100	atroviride	contig_4	Tatro_006678-T1	Tatro_006746-T1	1
201	101	reesei	CP016238.1	mRNA_5008	mRNA_4647	0
202	101	atroviride	contig_4	Tatro_007822-T1	Tatro_007841-T1	1
203	102	reesei	CP016237.1	mRNA_4535	mRNA_3028	0
204	102	atroviride	contig_3	Tatro_005708-T1	Tatro_005765-T1	1
205	103	atroviride	contig_10	Tatro_002656-T1	Tatro_002680-T1	0
206	103	reesei	CP016234.1	mRNA_975	mRNA_7299	1
207	104	reesei	CP016233.1	mRNA_1892	mRNA_289	0
208	104	atroviride	contig_1	Tatro_001124-T1	Tatro_001166-T1	1
209	105	reesei	CP016233.1	mRNA_351	mRNA_2007	0
210	105	atroviride	contig_1	Tatro_000669-T1	Tatro_000721-T1	1
211	106	atroviride	contig_10	Tatro_002360-T1	Tatro_002388-T1	0
212	106	reesei	CP016237.1	mRNA_7410	mRNA_7223	1
213	107	reesei	CP016238.1	mRNA_8571	mRNA_8457	0
214	107	atroviride	contig_3	Tatro_004804-T1	Tatro_004846-T1	1
215	108	reesei	CP016233.1	mRNA_4255	mRNA_2733	0
216	108	atroviride	contig_1	Tatro_000030-T1	Tatro_000092-T1	1
217	109	reesei	CP016233.1	mRNA_5485	mRNA_4518	0
218	109	atroviride	contig_1	Tatro_000464-T1	Tatro_000521-T1	1
219	110	reesei	CP016238.1	mRNA_3739	mRNA_3405	0
220	110	atroviride	contig_4	Tatro_007347-T1	Tatro_007361-T1	1
221	111	reesei	CP016238.1	mRNA_6166	mRNA_5915	0
222	111	atroviride	contig_4	Tatro_007752-T1	Tatro_007767-T1	1
223	112	reesei	CP016234.1	mRNA_3737	mRNA_3409	0
224	112	atroviride	contig_2	Tatro_004487-T1	Tatro_004504-T1	1
225	113	atroviride	contig_5	Tatro_008640-T1	Tatro_008706-T1	0
226	113	reesei	CP016236.1	mRNA_7385	mRNA_7924	1
227	114	reesei	CP016234.1	mRNA_7743	mRNA_7653	0
228	114	atroviride	contig_2	Tatro_004178-T1	Tatro_004194-T1	1
229	115	reesei	CP016233.1	mRNA_1985	mRNA_45	0
230	115	atroviride	contig_1	Tatro_000620-T1	Tatro_000660-T1	1
231	116	atroviride	contig_9	Tatro_011925-T1	Tatro_011954-T1	0
232	116	reesei	CP016235.1	mRNA_5361	mRNA_4877	1
233	117	reesei	CP016233.1	mRNA_7683	mRNA_7911	0
234	117	atroviride	contig_1	Tatro_001084-T1	Tatro_001123-T1	1
235	118	atroviride	contig_7	Tatro_010537-T1	Tatro_010569-T1	0
236	118	reesei	CP016236.1	mRNA_3595	mRNA_2914	1
237	119	atroviride	contig_5	Tatro_008956-T1	Tatro_008984-T1	0
238	119	reesei	CP016238.1	mRNA_5095	mRNA_4655	1
239	120	atroviride	contig_6	Tatro_009253-T1	Tatro_009292-T1	0
240	120	reesei	CP016233.1	mRNA_376	mRNA_305	1
241	121	atroviride	contig_6	Tatro_009998-T1	Tatro_010063-T1	0
242	121	reesei	CP016232.1	mRNA_4240	mRNA_2670	1
243	122	reesei	CP016235.1	mRNA_6304	mRNA_5564	0
244	122	atroviride	contig_1	Tatro_000196-T1	Tatro_000233-T1	1
245	123	reesei	CP016237.1	mRNA_6187	mRNA_5492	0
246	123	atroviride	contig_3	Tatro_005024-T1	Tatro_005075-T1	1
247	124	atroviride	contig_3	Tatro_005519-T1	Tatro_005551-T1	0
248	124	reesei	CP016232.1	mRNA_6946	mRNA_7300	1
249	125	reesei	CP016233.1	mRNA_1985	mRNA_45	0
250	125	atroviride	contig_1	Tatro_000620-T1	Tatro_000660-T1	1
251	126	reesei	CP016233.1	mRNA_2276	mRNA_3616	0
252	126	atroviride	contig_1	Tatro_000734-T1	Tatro_000794-T1	1
253	127	atroviride	contig_5	Tatro_008545-T1	Tatro_008562-T1	0
254	127	reesei	CP016236.1	mRNA_8736	mRNA_8750	1
255	128	atroviride	contig_6	Tatro_009564-T1	Tatro_009620-T1	0
256	128	reesei	CP016235.1	mRNA_9046	mRNA_9098	1
257	129	atroviride	contig_5	Tatro_008645-T1	Tatro_008705-T1	0
258	129	reesei	CP016236.1	mRNA_7422	mRNA_7913	1
259	130	reesei	CP016233.1	mRNA_1821	mRNA_638	0
260	130	atroviride	contig_1	Tatro_001127-T1	Tatro_001159-T1	1
261	131	reesei	CP016233.1	mRNA_895	mRNA_2169	0
262	131	atroviride	contig_1	Tatro_000687-T1	Tatro_000726-T1	1
263	132	reesei	CP016238.1	mRNA_8574	mRNA_8457	0
264	132	atroviride	contig_3	Tatro_004803-T1	Tatro_004846-T1	1
265	133	reesei	CP016233.1	mRNA_102	mRNA_1197	0
266	133	atroviride	contig_1	Tatro_000663-T1	Tatro_000695-T1	1
267	134	reesei	CP016238.1	mRNA_8325	mRNA_8119	0
268	134	atroviride	contig_4	Tatro_007442-T1	Tatro_007492-T1	1
269	135	reesei	CP016233.1	mRNA_2200	mRNA_3187	0
270	135	atroviride	contig_1	Tatro_000732-T1	Tatro_000774-T1	1
271	136	reesei	CP016237.1	mRNA_1452	mRNA_2059	0
272	136	atroviride	contig_3	Tatro_005906-T1	Tatro_005925-T1	1
273	137	reesei	CP016234.1	mRNA_4085	mRNA_3178	0
274	137	atroviride	contig_2	Tatro_004013-T1	Tatro_004048-T1	1
275	138	reesei	CP016235.1	mRNA_3759	mRNA_2898	0
276	138	atroviride	contig_1	Tatro_001416-T1	Tatro_001445-T1	1
277	139	atroviride	contig_3	Tatro_005382-T1	Tatro_005426-T1	0
278	139	reesei	CP016232.1	mRNA_7887	mRNA_8120	1
279	140	reesei	CP016234.1	mRNA_3473	mRNA_1608	0
280	140	atroviride	contig_2	Tatro_003523-T1	Tatro_003586-T1	1
281	141	reesei	CP016233.1	mRNA_1892	mRNA_903	0
282	141	atroviride	contig_1	Tatro_001124-T1	Tatro_001153-T1	1
283	142	atroviride	contig_6	Tatro_009563-T1	Tatro_009620-T1	0
284	142	reesei	CP016235.1	mRNA_9046	mRNA_9099	1
285	143	atroviride	contig_6	Tatro_009389-T1	Tatro_009428-T1	0
286	143	reesei	CP016233.1	mRNA_1877	mRNA_2750	1
287	144	atroviride	contig_7	Tatro_010504-T1	Tatro_010532-T1	0
288	144	reesei	CP016236.1	mRNA_5168	mRNA_5608	1
289	145	reesei	CP016237.1	mRNA_4328	mRNA_3028	0
290	145	atroviride	contig_3	Tatro_005714-T1	Tatro_005765-T1	1
291	146	reesei	CP016234.1	mRNA_6561	mRNA_5925	0
292	146	atroviride	contig_2	Tatro_003190-T1	Tatro_003241-T1	1
293	147	atroviride	contig_4	Tatro_007378-T1	Tatro_007420-T1	0
294	147	reesei	CP016232.1	mRNA_41	mRNA_1545	1
295	148	atroviride	contig_5	Tatro_008645-T1	Tatro_008693-T1	0
296	148	reesei	CP016236.1	mRNA_7422	mRNA_7815	1
297	149	reesei	CP016234.1	mRNA_6020	mRNA_4909	0
298	149	atroviride	contig_2	Tatro_003235-T1	Tatro_003302-T1	1
299	150	reesei	CP016235.1	mRNA_2086	mRNA_752	0
300	150	atroviride	contig_1	Tatro_001601-T1	Tatro_001636-T1	1
301	151	atroviride	contig_3	Tatro_006410-T1	Tatro_006435-T1	0
302	151	reesei	CP016232.1	mRNA_6814	mRNA_6523	1
303	152	atroviride	contig_7	Tatro_010400-T1	Tatro_010432-T1	0
304	152	reesei	CP016236.1	mRNA_2535	mRNA_3545	1
305	153	atroviride	contig_6	Tatro_010111-T1	Tatro_010142-T1	0
306	153	reesei	CP016232.1	mRNA_1609	mRNA_12	1
307	154	reesei	CP016238.1	mRNA_4574	mRNA_3785	0
308	154	atroviride	contig_4	Tatro_007853-T1	Tatro_007900-T1	1
309	155	atroviride	contig_6	Tatro_009692-T1	Tatro_009740-T1	0
310	155	reesei	CP016232.1	mRNA_5794	mRNA_5142	1
311	156	atroviride	contig_3	Tatro_004945-T1	Tatro_005011-T1	0
312	156	reesei	CP016232.1	mRNA_4333	mRNA_5555	1
313	157	atroviride	contig_5	Tatro_009000-T1	Tatro_009025-T1	0
314	157	reesei	CP016238.1	mRNA_2508	mRNA_1558	1
315	158	reesei	CP016235.1	mRNA_1320	mRNA_103	0
316	158	atroviride	contig_1	Tatro_001512-T1	Tatro_001546-T1	1
317	159	atroviride	contig_6	Tatro_009553-T1	Tatro_009602-T1	0
318	159	reesei	CP016235.1	mRNA_9063	mRNA_9108	1
319	160	atroviride	contig_8	Tatro_011437-T1	Tatro_011477-T1	0
320	160	reesei	CP016237.1	mRNA_382	mRNA_1729	1
321	161	atroviride	contig_7	Tatro_010536-T1	Tatro_010569-T1	0
322	161	reesei	CP016236.1	mRNA_3618	mRNA_2914	1
323	162	atroviride	contig_8	Tatro_011438-T1	Tatro_011476-T1	0
324	162	reesei	CP016237.1	mRNA_397	mRNA_1729	1
325	163	atroviride	contig_9	Tatro_011524-T1	Tatro_011585-T1	0
326	163	reesei	CP016235.1	mRNA_4025	mRNA_5174	1
327	164	atroviride	contig_3	Tatro_006405-T1	Tatro_006412-T1	0
328	164	atroviride	contig_2	Tatro_004639-T1	Tatro_004646-T1	1
329	165	reesei	CP016233.1	mRNA_2629	mRNA_760	0
330	165	atroviride	contig_1	Tatro_001680-T1	Tatro_001744-T1	1
331	166	atroviride	contig_2	Tatro_002932-T1	Tatro_002979-T1	0
332	166	reesei	CP016232.1	mRNA_2982	mRNA_1522	1
333	167	atroviride	contig_8	Tatro_011440-T1	Tatro_011473-T1	0
334	167	reesei	CP016237.1	mRNA_503	mRNA_1668	1
335	168	atroviride	contig_5	Tatro_008137-T1	Tatro_008174-T1	0
336	168	reesei	CP016236.1	mRNA_6986	mRNA_7348	1
337	169	reesei	CP016234.1	mRNA_6384	mRNA_5713	0
338	169	atroviride	contig_2	Tatro_003204-T1	Tatro_003252-T1	1
339	170	atroviride	contig_5	Tatro_008712-T1	Tatro_008751-T1	0
340	170	reesei	CP016236.1	mRNA_6028	mRNA_6549	1
341	171	atroviride	contig_7	Tatro_010516-T1	Tatro_010533-T1	0
342	171	reesei	CP016236.1	mRNA_5355	mRNA_5620	1
343	172	reesei	CP016237.1	mRNA_6274	mRNA_5468	0
344	172	atroviride	contig_3	Tatro_005021-T1	Tatro_005077-T1	1
345	173	reesei	CP016238.1	mRNA_941	mRNA_206	0
346	173	atroviride	contig_4	Tatro_008051-T1	Tatro_008072-T1	1
347	174	atroviride	contig_3	Tatro_005356-T1	Tatro_005376-T1	0
348	174	reesei	CP016232.1	mRNA_8122	mRNA_8196	1
349	175	atroviride	contig_3	Tatro_005162-T1	Tatro_005190-T1	0
350	175	reesei	CP016232.1	mRNA_9143	mRNA_7628	1
351	176	reesei	CP016233.1	mRNA_2388	mRNA_760	0
352	176	atroviride	contig_1	Tatro_001693-T1	Tatro_001744-T1	1
353	177	atroviride	contig_5	Tatro_008585-T1	Tatro_008609-T1	0
354	177	reesei	CP016236.1	mRNA_8751	mRNA_8767	1
355	178	atroviride	contig_7	Tatro_010516-T1	Tatro_010530-T1	0
356	178	reesei	CP016236.1	mRNA_5355	mRNA_5572	1
357	179	atroviride	contig_3	Tatro_006185-T1	Tatro_006218-T1	0
358	179	reesei	CP016232.1	mRNA_3395	mRNA_2647	1
359	180	atroviride	contig_7	Tatro_010516-T1	Tatro_010532-T1	0
360	180	reesei	CP016236.1	mRNA_5355	mRNA_5608	1
361	181	atroviride	contig_6	Tatro_009897-T1	Tatro_009936-T1	0
362	181	reesei	CP016232.1	mRNA_1819	mRNA_188	1
363	182	reesei	CP016233.1	mRNA_2102	mRNA_760	0
364	182	atroviride	contig_1	Tatro_001702-T1	Tatro_001744-T1	1
365	183	atroviride	contig_5	Tatro_008895-T1	Tatro_008945-T1	0
366	183	reesei	CP016236.1	mRNA_2308	mRNA_3435	1
367	184	atroviride	contig_8	Tatro_011171-T1	Tatro_011178-T1	0
368	184	reesei	CP016237.1	mRNA_5673	mRNA_5847	1
369	185	reesei	CP016234.1	mRNA_8633	mRNA_8580	0
370	185	atroviride	contig_2	Tatro_003447-T1	Tatro_003475-T1	1
371	186	atroviride	contig_6	Tatro_009388-T1	Tatro_009428-T1	0
372	186	reesei	CP016233.1	mRNA_1861	mRNA_2750	1
373	187	atroviride	contig_7	Tatro_010711-T1	Tatro_010755-T1	0
374	187	reesei	CP016235.1	mRNA_8957	mRNA_8993	1
375	188	atroviride	contig_7	Tatro_010535-T1	Tatro_010573-T1	0
376	188	reesei	CP016236.1	mRNA_3630	mRNA_2829	1
377	189	atroviride	contig_4	Tatro_007377-T1	Tatro_007420-T1	0
378	189	reesei	CP016232.1	mRNA_10	mRNA_1545	1
379	190	atroviride	contig_7	Tatro_010296-T1	Tatro_010297-T1	0
380	190	atroviride	contig_3	Tatro_006336-T1	Tatro_006338-T1	1
381	191	reesei	CP016234.1	mRNA_8360	mRNA_8246	0
382	191	atroviride	contig_2	Tatro_003590-T1	Tatro_003614-T1	1
383	192	reesei	CP016233.1	mRNA_1892	mRNA_522	0
384	192	atroviride	contig_1	Tatro_001124-T1	Tatro_001160-T1	1
385	193	reesei	CP016233.1	mRNA_4246	mRNA_2733	0
386	193	atroviride	contig_1	Tatro_000030-T1	Tatro_000091-T1	1
387	194	reesei	CP016234.1	mRNA_7483	mRNA_7387	0
388	194	atroviride	contig_2	Tatro_003733-T1	Tatro_003747-T1	1
389	195	reesei	CP016238.1	mRNA_3102	mRNA_2643	0
390	195	atroviride	contig_4	Tatro_007093-T1	Tatro_007111-T1	1
391	196	atroviride	contig_9	Tatro_011838-T1	Tatro_011873-T1	0
392	196	reesei	CP016235.1	mRNA_4358	mRNA_3529	1
393	197	atroviride	contig_3	Tatro_006275-T1	Tatro_006326-T1	0
394	197	reesei	CP016232.1	mRNA_5834	mRNA_4916	1
